card_number;name;rarity;magic_ink_color;got;foil
1;ARIEL;UNCOMMON;AMBER;6;0
2;ARIEL;SUPER;AMBER;0;0
3;CENDRILLON;UNCOMMON;AMBER;7;0
4;DINGO;UNCOMMON;AMBER;8;0
5;HADÈS;RARE;AMBER;1;0
6;HADÈS;RARE;AMBER;6;0
7;HEIHEI;COMMON;AMBER;13;0
8;"LE FOU";UNCOMMON;AMBER;3;0
9;LILO;RARE;AMBER;0;0
10;MAXIMUS;SUPER;AMBER;1;0
11;MAXIMUS;UNCOMMON;AMBER;7;1
12;"MICKEY MOUSE";UNCOMMON;AMBER;11;0
13;MINNIE;COMMON;AMBER;13;0
14;VAIANA;RARE;AMBER;2;0
15;"MONSIEUR MOUCHE";COMMON;AMBER;9;1
16;"PRINCE PHILIPPE";UNCOMMON;AMBER;5;0
17;PUMBAA;COMMON;AMBER;9;0
18;RAIPONCE;LEGENDARY;AMBER;0;0
19;SÉBASTIEN;COMMON;AMBER;8;0
20;SIMBA;COMMON;AMBER;9;0
21;STITCH;LEGENDARY;AMBER;0;0
22;STITCH;COMMON;AMBER;7;1
23;STITCH;SUPER;AMBER;1;0
24;TIMON;COMMON;AMBER;8;0
25;"C'EST LA FÊTE";UNCOMMON;AMBER;6;0
26;"TRÈS MAUVAIS CARACTÈRE !";COMMON;AMBER;10;0
27;"HAKUNA MATATA";COMMON;AMBER;8;1
28;"LUEUR RÉPARATRICE";COMMON;AMBER;8;0
29;"JUSTE À TEMPS";RARE;AMBER;1;0
30;"PARTIR LÀ-BAS";RARE;AMBER;3;0
31;"TU M'AS OUBLIÉ";UNCOMMON;AMBER;6;0
32;ZIRGOUFLEX;COMMON;AMBER;12;0
33;LANTERNE;RARE;AMBER;2;0
34;"PENDENTIF EN COQUILLAGE D'URSULA";RARE;AMBER;3;0
35;ANNA;UNCOMMON;AMETHYST;3;0
36;ARCHIMÈDE;COMMON;AMETHYST;7;0
37;"DR. FACILIER";RARE;AMETHYST;2;0
38;"DR. FACILIER";COMMON;AMETHYST;11;0
39;"DR. FACILIER";RARE;AMETHYST;2;0
40;ELSA;COMMON;AMETHYST;8;0
41;ELSA;UNCOMMON;AMETHYST;5;0
42;ELSA;LEGENDARY;AMETHYST;0;0
43;FLOTSAM;RARE;AMETHYST;4;0
44;JAFAR;RARE;AMETHYST;1;0
45;JAFAR;COMMON;AMETHYST;12;1
46;JETSAM;COMMON;AMETHYST;10;0
47;"BALAIS MAGIQUES";COMMON;AMETHYST;9;0
48;MALÉFIQUE;RARE;AMETHYST;1;0
49;MALÉFIQUE;COMMON;AMETHYST;12;0
50;GUIMAUVE;SUPER;AMETHYST;2;0
51;"MICKEY MOUSE";SUPER;AMETHYST;2;0
52;OLAF;UNCOMMON;AMETHYST;8;0
53;PASCAL;UNCOMMON;AMETHYST;6;0
54;RAFIKI;UNCOMMON;AMETHYST;10;0
55;SVEN;UNCOMMON;AMETHYST;7;0
56;"LA REINE";SUPER;AMETHYST;1;0
57;"MADAME DE GARDEROBE";COMMON;AMETHYST;10;0
58;"LA FÉE CLOCHETTE";COMMON;AMETHYST;7;0
59;URSULA;LEGENDARY;AMETHYST;0;0
60;YZMA;UNCOMMON;AMETHYST;9;1
61;ZEUS;RARE;AMETHYST;3;0
62;EMBERLIFICOTAGE;UNCOMMON;AMETHYST;6;0
63;GEL;COMMON;AMETHYST;10;0
64;"MES AMIS DE L'AU-DELÀ";COMMON;AMETHYST;12;0
65;Réflexion;UNCOMMON;AMETHYST;6;0
66;"MIROIR MAGIQUE";RARE;AMETHYST;4;0
67;"CHAUDRON D'URSULA";UNCOMMON;AMETHYST;1;0
68;"MONTRE À GOUSSET";RARE;AMETHYST;0;0
69;Aladdin;COMMON;EMERALD;11;1
70;"LA BÊTE";LEGENDARY;EMERALD;0;0
71;"CHAT DU CHESHIRE";UNCOMMON;EMERALD;0;0
72;"CRUELLA D'ENFER";RARE;EMERALD;2;0
73;"LE DUC DE WESELTON";COMMON;EMERALD;12;0
74;"FLYNN RIDER";UNCOMMON;EMERALD;0;0
75;GÉNIE;SUPER;EMERALD;1;0
76;GÉNIE;RARE;EMERALD;1;0
77;GÉNIE;COMMON;EMERALD;8;0
78;HANS;RARE;EMERALD;0;0
79;HORACE;COMMON;EMERALD;12;0
80;IAGO;RARE;EMERALD;4;0
81;JASPER;UNCOMMON;EMERALD;10;0
82;"JOHN SILVER";LEGENDARY;EMERALD;0;0
83;"JUMBA JOOKIBA";UNCOMMON;EMERALD;6;0
84;KUZCO;RARE;EMERALD;0;0
85;"MADAME DE TRÉMAINE";RARE;EMERALD;3;0
86;"LE CHAPELIER FOU";UNCOMMON;EMERALD;8;0
87;MÉGARA;COMMON;EMERALD;12;0
88;"MICKEY MOUSE";SUPER;EMERALD;1;0
89;"MICKEY MOUSE";COMMON;EMERALD;13;0
90;"MÈRE GOTHEL";SUPER;EMERALD;1;0
91;"PETER PAN";COMMON;EMERALD;12;0
92;TAMATOA;UNCOMMON;EMERALD;5;0
93;"LA FÉE CLOCHETTE";COMMON;EMERALD;7;0
94;"RECOMMENCE !";RARE;EMERALD;0;0
95;"N'ÉCOUTE QUE MOI";UNCOMMON;EMERALD;5;0
96;RUÉE;COMMON;EMERALD;8;1
97;"VOLER AUX RICHES";RARE;EMERALD;4;0
98;"CRUELLE DIABLESSE";COMMON;EMERALD;5;0
99;"LA BÊTE EST À MOI !";UNCOMMON;EMERALD;4;0
100;"TRAHISON BRUTALE";COMMON;EMERALD;10;0
101;"CARTES DU DR. FACILIER";UNCOMMON;EMERALD;9;0
102;"CIMETERRE VOLÉ";COMMON;EMERALD;13;2
103;ABU;COMMON;RUBY;10;1
104;ALADDIN;SUPER;RUBY;3;0
105;ALADDIN;COMMON;RUBY;13;0
106;CAPITAINE;UNCOMMON;RUBY;10;0
107;"CAPITAINE CROCHET";RARE;RUBY;2;0
108;DONALD;UNCOMMON;RUBY;10;0
109;ELSA;COMMON;RUBY;8;0
110;GASTON;COMMON;RUBY;5;0
111;DINGO;COMMON;RUBY;8;0
112;"LE FOU";RARE;RUBY;5;0
113;MALÉFIQUE;LEGENDARY;RUBY;0;0
114;MAUI;RARE;RUBY;0;0
115;"MICKEY MOUSE";LEGENDARY;RUBY;0;0
116;MINNIE;COMMON;RUBY;9;2
117;VAIANA;UNCOMMON;RUBY;4;0
118;MULAN;SUPER;RUBY;0;0
119;"PETER PAN";COMMON;RUBY;10;0
120;PONGO;COMMON;RUBY;14;0
121;RAIPONCE;UNCOMMON;RUBY;9;0
122;SCAR;COMMON;RUBY;11;0
123;SCAR;RARE;RUBY;3;0
124;"SERGENT TIBS";COMMON;RUBY;10;0
125;STITCH;RARE;RUBY;4;0
126;"TE KĀ";SUPER;RUBY;1;0
127;TIGROU;UNCOMMON;RUBY;5;1
128;"SOYEZ PRÊTES !";RARE;RUBY;1;0
129;"DROIT AU BUT";UNCOMMON;RUBY;4;0
130;"FEU DU DRAGON";UNCOMMON;RUBY;8;0
131;"ATTISER LES FLAMMES";UNCOMMON;RUBY;4;0
132;"IL A UN SABRE !";COMMON;RUBY;11;0
133;ENCHEVÊTRÉ;COMMON;RUBY;6;1
134;"POMME EMPOISONNÉE";RARE;RUBY;0;0
135;"BOUCLIER DE VERTU";UNCOMMON;RUBY;7;0
136;"ÉPÉE DE VÉRITÉ";RARE;RUBY;4;0
137;ARIEL;RARE;SAPPHIRE;2;0
138;AURORE;COMMON;SAPPHIRE;7;0
139;AURORE;SUPER;SAPPHIRE;1;0
140;AURORE;UNCOMMON;SAPPHIRE;11;0
141;BELLE;UNCOMMON;SAPPHIRE;3;0
142;BELLE;LEGENDARY;SAPPHIRE;0;0
